client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20200814-102234-001-000-1,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-004,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-004,MARKET,BUY,0.02500,FOK,False,False,0.02500,TAKER,424.56,0.0,['0.00106140 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,"{'horizon_secs': 10.0, 'interval_secs': 2.5}",O-20200814-102234-001-000-1,,bb6e8039-1906-435b-abf1-0928c8220e66,2020-08-14 10:22:34.574000+00:00,2020-08-14 10:22:42.074000+00:00
O-20200814-102234-001-000-1-E1,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-001,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-001,MARKET,BUY,0.02500,FOK,False,False,0.02500,TAKER,424.58,0.0,['0.00106145 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-102234-001-000-1,,2fddd238-7a5a-4b34-8ae1-0635f633b6fd,2020-08-14 10:22:34.574000+00:00,2020-08-14 10:22:34.574000+00:00
O-20200814-102234-001-000-1-E2,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-002,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-002,MARKET,BUY,0.02500,FOK,False,False,0.02500,TAKER,424.57,0.0,['0.00106143 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-102234-001-000-1,,b061b130-544f-4185-83dd-6d4ab8a8f697,2020-08-14 10:22:37.074000+00:00,2020-08-14 10:22:37.074000+00:00
O-20200814-102234-001-000-1-E3,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-003,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-003,MARKET,BUY,0.02500,FOK,False,False,0.02500,TAKER,424.56,0.0,['0.00106140 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-102234-001-000-1,,3c1db773-1819-4cb5-9d79-344ba4727381,2020-08-14 10:22:39.574000+00:00,2020-08-14 10:22:39.574000+00:00
O-20200814-103237-001-000-2,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-005,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-005,MARKET,SELL,0.10000,GTC,True,False,0.10000,TAKER,423.47,0.0,['0.00423470 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,47261b94-9a38-424e-868b-dc8bc6399dcf,2020-08-14 10:32:37.428000+00:00,2020-08-14 10:32:37.428000+00:00
O-20200814-103237-001-000-3,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-009,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-009,MARKET,SELL,0.02500,FOK,False,False,0.02500,TAKER,423.47,0.0,['0.00105868 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,"{'horizon_secs': 10.0, 'interval_secs': 2.5}",O-20200814-103237-001-000-3,,d0ff05aa-fa65-454b-a0fb-47dbef4c3b10,2020-08-14 10:32:37.428000+00:00,2020-08-14 10:32:44.928000+00:00
O-20200814-103237-001-000-3-E1,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-006,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-006,MARKET,SELL,0.02500,FOK,False,False,0.02500,TAKER,423.47,0.0,['0.00105868 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-103237-001-000-3,,0ff2ff1a-0eec-4014-a4d7-067f527bf714,2020-08-14 10:32:37.428000+00:00,2020-08-14 10:32:37.428000+00:00
O-20200814-103237-001-000-3-E2,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-007,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-007,MARKET,SELL,0.02500,FOK,False,False,0.02500,TAKER,423.47,0.0,['0.00105868 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-103237-001-000-3,,6495c946-2cfb-42d3-bed8-c19b08d70e41,2020-08-14 10:32:39.928000+00:00,2020-08-14 10:32:39.928000+00:00
O-20200814-103237-001-000-3-E3,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-008,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-008,MARKET,SELL,0.02500,FOK,False,False,0.02500,TAKER,423.47,0.0,['0.00105868 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,TWAP,,O-20200814-103237-001-000-3,,054850a7-5405-4a28-9e30-cdf2d5cdba18,2020-08-14 10:32:42.428000+00:00,2020-08-14 10:32:42.428000+00:00
O-20200814-104611-001-000-4,BACKTESTER-001,EMACrossTWAP-000,ETHUSDT.BINANCE,BINANCE-1-010,ETHUSDT.BINANCE-EMACrossTWAP-000,BINANCE-001,BINANCE-1-010,MARKET,BUY,0.10000,GTC,True,False,0.10000,TAKER,424.7,0.0,['0.00424700 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fcf46e9d-a9bd-4353-8b12-45fe90f3a4d0,2020-08-14 10:46:11.428000+00:00,2020-08-14 10:46:11.428000+00:00
