client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250909-120000-001-000-1,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-051,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,112655.7,0.0,['67.59342000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0a2c9d66-d6ed-4189-98b2-7fd998a9c0d1,2025-09-09 12:00:00+00:00,2025-09-09 12:00:00+00:00
O-20250909-140000-001-000-2,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-054,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,111823.7,0.0,['67.09422000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,43c32dbe-716e-4194-b521-8fc59e9f6208,2025-09-09 14:00:00+00:00,2025-09-09 14:00:00+00:00
O-20250911-150000-001-000-4,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-104,MARKET,BUY,0.86424374,GTC,False,False,0.86424374,TAKER,114222.4,0.0,['59.22959650 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0229fca3-f91b-44a6-b2b6-089535a6f469,2025-09-11 15:00:00+00:00,2025-09-11 15:00:00+00:00
O-20250915-190000-001-000-5,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-205,MARKET,SELL,0.86424374,GTC,True,False,0.86424374,TAKER,115283.3,0.0,['59.77972221 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7b93097d-1889-41f5-9be0-8d9b708ea667,2025-09-15 19:00:00+00:00,2025-09-15 19:00:00+00:00
O-20250915-200000-001-000-6,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-207,MARKET,BUY,0.76868712,GTC,False,False,0.76868712,TAKER,115318.20000000001,0.0,['53.18616902 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9b103580-bfbe-47a2-81d5-fd430b4c434d,2025-09-15 20:00:00+00:00,2025-09-15 20:00:00+00:00
O-20250915-230000-001-000-7,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-211,MARKET,SELL,0.76868712,GTC,True,False,0.76868712,TAKER,115374.9,0.0,['53.21231976 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,dc888fb4-faa7-43d7-89bb-d3480c9447e7,2025-09-15 23:00:00+00:00,2025-09-15 23:00:00+00:00
O-20250916-000000-001-000-8,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-213,MARKET,BUY,0.93017594,GTC,False,False,0.93017594,TAKER,115051.2,0.0,['64.21071486 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f271af4f-b68c-4373-83e6-5c43174d2acc,2025-09-16 00:00:00+00:00,2025-09-16 00:00:00+00:00
O-20250916-030000-001-000-9,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-217,MARKET,SELL,0.93017594,GTC,True,False,0.93017594,TAKER,115399.8,0.0,['64.40527046 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,101736f4-8558-4093-8fdb-857b2e8aa4ed,2025-09-16 03:00:00+00:00,2025-09-16 03:00:00+00:00
O-20250916-050000-001-000-10,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-220,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115894.9,0.0,['69.53694000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eacac153-3cd0-4437-977b-5bec46b4ffc9,2025-09-16 05:00:00+00:00,2025-09-16 05:00:00+00:00
O-20250916-080000-001-000-11,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-224,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115689.40000000001,0.0,['69.41364000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9cd92bfa-6d3d-4ce6-8c6c-0b0b882f37a0,2025-09-16 08:00:00+00:00,2025-09-16 08:00:00+00:00
O-20250916-090000-001-000-12,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-011,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-226,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115513.7,0.0,['69.30822000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a7346171-aabc-4783-b86d-80d7443d0e67,2025-09-16 09:00:00+00:00,2025-09-16 09:00:00+00:00
O-20250916-120000-001-000-13,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-012,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-230,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115448.9,0.0,['69.26934000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5b64fec4-6958-4059-9849-96c06e568839,2025-09-16 12:00:00+00:00,2025-09-16 12:00:00+00:00
O-20250916-130000-001-000-14,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-013,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-232,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115167.5,0.0,['69.10050000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,066e57ed-fa01-4ff4-93f1-1c6c44ad54f2,2025-09-16 13:00:00+00:00,2025-09-16 13:00:00+00:00
O-20250916-160000-001-000-15,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-014,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-236,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,116008.0,0.0,['69.60480000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e19a3237-1026-480e-af3e-abc4c232662e,2025-09-16 16:00:00+00:00,2025-09-16 16:00:00+00:00
O-20250916-170000-001-000-16,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-015,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-238,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,116554.8,0.0,['69.93288000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3b3afeea-2e29-4485-9f5c-c6634aa59cd3,2025-09-16 17:00:00+00:00,2025-09-16 17:00:00+00:00
O-20250916-200000-001-000-17,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-016,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-242,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,116899.90000000001,0.0,['70.13994000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,edcef36c-56cc-4389-bbf7-0bd48394a0c6,2025-09-16 20:00:00+00:00,2025-09-16 20:00:00+00:00
O-20250916-210000-001-000-18,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-017,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-244,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,116881.2,0.0,['70.12872000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,674c7e21-75c2-4499-8bba-29e897914b76,2025-09-16 21:00:00+00:00,2025-09-16 21:00:00+00:00
O-20250917-000000-001-000-19,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-018,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-248,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,116669.0,0.0,['70.00140000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0c267964-5210-4a8e-8e87-1668f86f3bf6,2025-09-17 00:00:00+00:00,2025-09-17 00:00:00+00:00
