client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250908-060000-001-000-1,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-021,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,111121.79999999999,0.0,['0.66673080 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,30c24c96-5383-430e-915e-b97737fd96ce,2025-09-08 06:00:00+00:00,2025-09-08 06:00:00+00:00
O-20250908-080000-001-000-2,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-024,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,111619.2,0.0,['0.66971520 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b3ee4a90-4302-4c4b-9105-811463c5bc92,2025-09-08 08:00:00+00:00,2025-09-08 08:00:00+00:00
O-20250908-080000-001-000-3,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-025,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,111619.2,0.0,['0.66971520 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7705f7f9-7a08-486e-acf7-0277d7b60fae,2025-09-08 08:00:00+00:00,2025-09-08 08:00:00+00:00
O-20250909-020000-001-000-4,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-044,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,111304.6,0.0,['0.66782760 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,55c79df1-2ebe-47e8-99ef-01f2a7395990,2025-09-09 02:00:00+00:00,2025-09-09 02:00:00+00:00
O-20250909-020000-001-000-5,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-045,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,111304.6,0.0,['0.66782760 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,275e63c6-6d27-4c59-9ea8-40b1aa869ef5,2025-09-09 02:00:00+00:00,2025-09-09 02:00:00+00:00
O-20250909-040000-001-000-6,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-048,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,112012.9,0.0,['0.67207740 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a42ddd7e-70ba-4dfa-8fbc-f85f591ef6d2,2025-09-09 04:00:00+00:00,2025-09-09 04:00:00+00:00
O-20250909-040000-001-000-7,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-049,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,112012.9,0.0,['0.67207740 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8a0260f5-decc-401a-b519-5bb323227de9,2025-09-09 04:00:00+00:00,2025-09-09 04:00:00+00:00
O-20250909-150000-001-000-8,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-061,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,110888.4,0.0,['0.66533040 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a9d848b6-b79a-44dd-9290-4b05220ae9f1,2025-09-09 15:00:00+00:00,2025-09-09 15:00:00+00:00
O-20250909-150000-001-000-9,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-062,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,110888.4,0.0,['0.66533040 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,36f5fa3e-d06a-48d4-bb20-236af4dfce34,2025-09-09 15:00:00+00:00,2025-09-09 15:00:00+00:00
O-20250910-070000-001-000-10,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-079,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,112531.6,0.0,['0.67518960 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,54660284-291a-4dae-b23c-187effec85c4,2025-09-10 07:00:00+00:00,2025-09-10 07:00:00+00:00
O-20250910-070000-001-000-11,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-011,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-080,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,112531.6,0.0,['0.67518960 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,82ac56d8-f87b-477b-80b0-276e5ea11c41,2025-09-10 07:00:00+00:00,2025-09-10 07:00:00+00:00
O-20250913-160000-001-000-12,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-012,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-162,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,115392.0,0.0,['0.69235200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a99b1d0d-00f5-4050-aab0-b5aa1e377fea,2025-09-13 16:00:00+00:00,2025-09-13 16:00:00+00:00
O-20250913-160000-001-000-13,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-013,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-163,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,115392.0,0.0,['0.69235200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8f3b6d8f-e44d-4f32-8cdd-8909b3d88836,2025-09-13 16:00:00+00:00,2025-09-13 16:00:00+00:00
O-20250913-210000-001-000-14,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-014,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-169,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,115899.8,0.0,['0.69539880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9ca9e700-7e27-45fe-967b-a1e117ce3399,2025-09-13 21:00:00+00:00,2025-09-13 21:00:00+00:00
O-20250913-210000-001-000-15,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-015,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-170,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,115899.8,0.0,['0.69539880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a69fe5b7-5248-4972-ae0d-c9e2edac2a92,2025-09-13 21:00:00+00:00,2025-09-13 21:00:00+00:00
O-20250914-070000-001-000-16,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-016,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-181,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,115809.79999999999,0.0,['0.69485880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1f2f2442-2a22-4135-b1de-328a52596fc1,2025-09-14 07:00:00+00:00,2025-09-14 07:00:00+00:00
O-20250914-070000-001-000-17,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-017,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-182,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,115809.79999999999,0.0,['0.69485880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,993bf88a-5a1a-478a-8626-bf1d42e37a0c,2025-09-14 07:00:00+00:00,2025-09-14 07:00:00+00:00
O-20250914-080000-001-000-18,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-018,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-184,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,115989.0,0.0,['0.69593400 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5f7480bd-d84b-443a-b4ff-8cccba64e87b,2025-09-14 08:00:00+00:00,2025-09-14 08:00:00+00:00
O-20250914-080000-001-000-19,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-019,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-185,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,115989.0,0.0,['0.69593400 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d9e5a666-9e4d-4155-a31f-7195754212b8,2025-09-14 08:00:00+00:00,2025-09-14 08:00:00+00:00
O-20250914-130000-001-000-20,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-020,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-191,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,115357.0,0.0,['0.69214200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c244bf73-e098-4a11-b21c-e572cafa17d7,2025-09-14 13:00:00+00:00,2025-09-14 13:00:00+00:00
O-20250914-130000-001-000-21,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-021,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-192,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,115357.0,0.0,['0.69214200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5833c775-b546-46dc-a56f-3086f7897c17,2025-09-14 13:00:00+00:00,2025-09-14 13:00:00+00:00
O-20250914-220000-001-000-22,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-022,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-202,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,116042.9,0.0,['0.69625740 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bc13faa5-911d-4f6c-a23b-3b7e242cfd50,2025-09-14 22:00:00+00:00,2025-09-14 22:00:00+00:00
O-20250914-220000-001-000-23,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-023,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-203,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,116042.9,0.0,['0.69625740 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fd960622-fceb-4bf4-b835-72cd311ae1a8,2025-09-14 22:00:00+00:00,2025-09-14 22:00:00+00:00
O-20250914-230000-001-000-24,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-024,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-205,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,115390.59999999999,0.0,['0.69234360 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,71774996-d614-4efd-ae65-917d746ebb40,2025-09-14 23:00:00+00:00,2025-09-14 23:00:00+00:00
O-20250914-230000-001-000-25,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-025,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-206,MARKET,SELL,0.01000000,GTC,False,False,0.01000000,TAKER,115390.59999999999,0.0,['0.69234360 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1b7b8966-e50a-494a-a20c-3737a09e9ab5,2025-09-14 23:00:00+00:00,2025-09-14 23:00:00+00:00
O-20250915-050000-001-000-26,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-026,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-213,MARKET,BUY,0.01000000,GTC,True,False,0.01000000,TAKER,116529.79999999999,0.0,['0.69917880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e0463149-4c4a-4ce7-8ba7-3dcb020f5a52,2025-09-15 05:00:00+00:00,2025-09-15 05:00:00+00:00
O-20250915-050000-001-000-27,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-027,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-214,MARKET,BUY,0.01000000,GTC,False,False,0.01000000,TAKER,116529.79999999999,0.0,['0.69917880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e4ef8712-82fc-4f26-acc5-3da705caf07c,2025-09-15 05:00:00+00:00,2025-09-15 05:00:00+00:00
O-20250915-080000-001-000-28,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-1-028,BTC/USD.KRAKEN-EMACross-000,KRAKEN-001,KRAKEN-1-218,MARKET,SELL,0.01000000,GTC,True,False,0.01000000,TAKER,114846.0,0.0,['0.68907600 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1d409db0-99b8-42b7-87a2-067ba0019988,2025-09-15 08:00:00+00:00,2025-09-15 08:00:00+00:00
