position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-ddf725ce-0cbc-4cd9-b77c-e9bf41bdab91,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250909-120000-001-000-1,O-20250909-140000-001-000-2,BUY,FLAT,0.00000000,1.00000000,1757419200000000000,2025-09-09 12:00:00+00:00,1757426400000000000,2025-09-09 14:00:00+00:00,7200000000000,112655.7,111823.7,['134.68764000 USDT'],-0.00739,-966.68764000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-d416b7ff-dcd8-49e5-bd5c-245e1ebb7314,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250911-150000-001-000-4,O-20250915-190000-001-000-5,BUY,FLAT,0.00000000,0.86424374,1757602800000000000,2025-09-11 15:00:00+00:00,1757962800000000000,2025-09-15 19:00:00+00:00,360000000000000,114222.4,115283.3,['119.00931871 USDT'],0.00929,797.86686506 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-1368e96d-2429-43e1-a909-96af8de4eb8a,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250915-200000-001-000-6,O-20250915-230000-001-000-7,BUY,FLAT,0.00000000,0.76868712,1757966400000000000,2025-09-15 20:00:00+00:00,1757977200000000000,2025-09-15 23:00:00+00:00,10800000000000,115318.20000000001,115374.9,['106.39848878 USDT'],0.00049,-62.81392908 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-d95ddfa1-c971-44a1-985c-ba809163ddce,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-000000-001-000-8,O-20250916-030000-001-000-9,BUY,FLAT,0.00000000,0.93017594,1757980800000000000,2025-09-16 00:00:00+00:00,1757991600000000000,2025-09-16 03:00:00+00:00,10800000000000,115051.2,115399.8,['128.61598532 USDT'],0.00303,195.64334736 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-64ba1d0c-3816-4ed2-b192-6c09089157c5,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-050000-001-000-10,O-20250916-080000-001-000-11,BUY,FLAT,0.00000000,1.00000000,1757998800000000000,2025-09-16 05:00:00+00:00,1758009600000000000,2025-09-16 08:00:00+00:00,10800000000000,115894.9,115689.40000000001,['138.95058000 USDT'],-0.00177,-344.45058000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-68192d2f-d6ee-48a1-8583-7caa6581e14b,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-090000-001-000-12,O-20250916-120000-001-000-13,BUY,FLAT,0.00000000,1.00000000,1758013200000000000,2025-09-16 09:00:00+00:00,1758024000000000000,2025-09-16 12:00:00+00:00,10800000000000,115513.7,115448.9,['138.57756000 USDT'],-0.00056,-203.37756000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-eece5ad5-3c34-449a-877e-31fa02900ba1,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-130000-001-000-14,O-20250916-160000-001-000-15,BUY,FLAT,0.00000000,1.00000000,1758027600000000000,2025-09-16 13:00:00+00:00,1758038400000000000,2025-09-16 16:00:00+00:00,10800000000000,115167.5,116008.0,['138.70530000 USDT'],0.0073,701.79470000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-d3dec9ec-a236-4792-a0cf-fa6bfd28f779,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-170000-001-000-16,O-20250916-200000-001-000-17,BUY,FLAT,0.00000000,1.00000000,1758042000000000000,2025-09-16 17:00:00+00:00,1758052800000000000,2025-09-16 20:00:00+00:00,10800000000000,116554.8,116899.90000000001,['140.07282000 USDT'],0.00296,205.02718000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-979ec622-2e04-464f-9751-e3aa25ee9fd0,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250916-210000-001-000-18,O-20250917-000000-001-000-19,BUY,FLAT,0.00000000,1.00000000,1758056400000000000,2025-09-16 21:00:00+00:00,1758067200000000000,2025-09-17 00:00:00+00:00,10800000000000,116881.2,116669.0,['140.13012000 USDT'],-0.00182,-352.33012000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-d2a921c4-c778-408d-891e-ffa36bff685d,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250917-010000-001-000-20,O-20250917-040000-001-000-21,BUY,FLAT,0.00000000,1.00000000,1758070800000000000,2025-09-17 01:00:00+00:00,1758081600000000000,2025-09-17 04:00:00+00:00,10800000000000,116707.7,116349.1,['139.83408000 USDT'],-0.00307,-498.43408000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-738ba7c4-feb4-456a-ba4f-b9686edd3a55,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250917-050000-001-000-22,O-20250917-080000-001-000-23,BUY,FLAT,0.00000000,1.00000000,1758085200000000000,2025-09-17 05:00:00+00:00,1758096000000000000,2025-09-17 08:00:00+00:00,10800000000000,117186.4,116900.09999999999,['140.45190000 USDT'],-0.00244,-426.75190000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-baebd119-0685-4303-b742-c709dd67a5c0,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250917-090000-001-000-24,O-20250917-120000-001-000-25,BUY,FLAT,0.00000000,1.00000000,1758099600000000000,2025-09-17 09:00:00+00:00,1758110400000000000,2025-09-17 12:00:00+00:00,10800000000000,116605.1,116281.6,['139.73202000 USDT'],-0.00277,-463.23202000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-4b1cbc55-de3d-454b-afd4-47584dabf29d,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250917-130000-001-000-26,O-20250917-160000-001-000-27,BUY,FLAT,0.00000000,1.00000000,1758114000000000000,2025-09-17 13:00:00+00:00,1758124800000000000,2025-09-17 16:00:00+00:00,10800000000000,116158.8,115673.79999999999,['139.09956000 USDT'],-0.00418,-624.09956000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-73bb9059-d59c-4b96-8289-6396c72afb7f,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250919-230000-001-000-29,O-20250920-190000-001-000-30,BUY,FLAT,0.00000000,1.00000000,1758322800000000000,2025-09-19 23:00:00+00:00,1758394800000000000,2025-09-20 19:00:00+00:00,72000000000000,115677.2,115777.5984452712,['138.87287906 USDT'],0.00087,-38.47443379 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-de4165bb-ab02-41f8-8af0-f30f1b94e004,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250920-230000-001-000-31,O-20250921-020000-001-000-32,BUY,FLAT,0.00000000,1.00000000,1758409200000000000,2025-09-20 23:00:00+00:00,1758420000000000000,2025-09-21 02:00:00+00:00,10800000000000,115739.1,115720.0,['138.87546000 USDT'],-0.00017,-157.97546000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-57d9db67-f431-428a-865d-20bbc3b90f6d,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-030000-001-000-33,O-20250921-060000-001-000-34,BUY,FLAT,0.00000000,1.00000000,1758423600000000000,2025-09-21 03:00:00+00:00,1758434400000000000,2025-09-21 06:00:00+00:00,10800000000000,115712.6,115825.79999999999,['138.92304000 USDT'],0.00098,-25.72304000 USDT,True
