position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-EMACross-000-ea0935e7-5f6e-471e-bcac-f9d8f7aedd42,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250908-060000-001-000-1,O-20250908-080000-001-000-2,SELL,FLAT,0.00000000,0.01000000,1757311200000000000,2025-09-08 06:00:00+00:00,1757318400000000000,2025-09-08 08:00:00+00:00,7200000000000,111121.79999999999,111619.2,['1.33644600 USDT'],-0.00448,-6.31044600 USDT,True
BTC/USD.KRAKEN-EMACross-000-be786ff2-276f-4e61-8a73-d36d400b25cb,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250908-080000-001-000-3,O-20250909-020000-001-000-4,BUY,FLAT,0.00000000,0.01000000,1757318400000000000,2025-09-08 08:00:00+00:00,1757383200000000000,2025-09-09 02:00:00+00:00,64800000000000,111619.2,111304.6,['1.33754280 USDT'],-0.00282,-4.48354280 USDT,True
BTC/USD.KRAKEN-EMACross-000-02b72ec4-d54d-4b7e-aaf8-d649e360024c,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250909-020000-001-000-5,O-20250909-040000-001-000-6,SELL,FLAT,0.00000000,0.01000000,1757383200000000000,2025-09-09 02:00:00+00:00,1757390400000000000,2025-09-09 04:00:00+00:00,7200000000000,111304.6,112012.9,['1.33990500 USDT'],-0.00636,-8.42290500 USDT,True
BTC/USD.KRAKEN-EMACross-000-a5949c2c-c22b-49f6-a79f-3e23712253bc,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250909-040000-001-000-7,O-20250909-150000-001-000-8,BUY,FLAT,0.00000000,0.01000000,1757390400000000000,2025-09-09 04:00:00+00:00,1757430000000000000,2025-09-09 15:00:00+00:00,39600000000000,112012.9,110888.4,['1.33740780 USDT'],-0.01004,-12.58240780 USDT,True
BTC/USD.KRAKEN-EMACross-000-7405064e-483c-44fa-bede-f1c484f3c1e2,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250909-150000-001-000-9,O-20250910-070000-001-000-10,SELL,FLAT,0.00000000,0.01000000,1757430000000000000,2025-09-09 15:00:00+00:00,1757487600000000000,2025-09-10 07:00:00+00:00,57600000000000,110888.4,112531.6,['1.34052000 USDT'],-0.01482,-17.77252000 USDT,True
BTC/USD.KRAKEN-EMACross-000-f5e09412-ce24-40f6-ba64-f8e8ea817c55,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250910-070000-001-000-11,O-20250913-160000-001-000-12,BUY,FLAT,0.00000000,0.01000000,1757487600000000000,2025-09-10 07:00:00+00:00,1757779200000000000,2025-09-13 16:00:00+00:00,291600000000000,112531.6,115392.0,['1.36754160 USDT'],0.02542,27.23645840 USDT,True
BTC/USD.KRAKEN-EMACross-000-b63e2f68-8794-4358-8fc7-b4de79f6c279,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250913-160000-001-000-13,O-20250913-210000-001-000-14,SELL,FLAT,0.00000000,0.01000000,1757779200000000000,2025-09-13 16:00:00+00:00,1757797200000000000,2025-09-13 21:00:00+00:00,18000000000000,115392.0,115899.8,['1.38775080 USDT'],-0.0044,-6.46575080 USDT,True
BTC/USD.KRAKEN-EMACross-000-8cd09983-fc72-47b9-a0da-965b6930e6b5,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250913-210000-001-000-15,O-20250914-070000-001-000-16,BUY,FLAT,0.00000000,0.01000000,1757797200000000000,2025-09-13 21:00:00+00:00,1757833200000000000,2025-09-14 07:00:00+00:00,36000000000000,115899.8,115809.79999999999,['1.39025760 USDT'],-0.00078,-2.29025760 USDT,True
BTC/USD.KRAKEN-EMACross-000-3af3c93d-d8a8-43a2-8ce9-491a60b0461b,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250914-070000-001-000-17,O-20250914-080000-001-000-18,SELL,FLAT,0.00000000,0.01000000,1757833200000000000,2025-09-14 07:00:00+00:00,1757836800000000000,2025-09-14 08:00:00+00:00,3600000000000,115809.79999999999,115989.0,['1.39079280 USDT'],-0.00155,-3.18279280 USDT,True
BTC/USD.KRAKEN-EMACross-000-223e3513-10f8-4709-af2d-083e1f4136b1,BACKTESTER-001,EMACross-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250914-080000-001-000-19,O-20250914-130000-001-000-20,BUY,FLAT,0.00000000,0.01000000,1757836800000000000,2025-09-14 08:00:00+00:00,1757854800000000000,2025-09-14 13:00:00+00:00,18000000000000,115989.0,115357.0,['1.38807600 USDT'],-0.00545,-7.70807600 USDT,True
